,Total sessions,Subscriber sessions,Non-subscriber sessions,% sessions non subscriber
104,140411.2380952381,31669.714285714286,108741.52380952382,76.4721516508503
105,136479.2380952381,31596.47619047619,104882.76190476191,75.89742931411087
106,134151.33333333334,31626.285714285714,102525.04761904762,75.53524691454902
107,131134.09523809524,31436.95238095238,99697.14285714286,75.03755902185455
108,129511.0,31387.571428571428,98123.42857142857,74.6207483093592
109,125690.52380952382,31570.333333333332,94120.19047619047,74.11657827505712
110,120916.23809523809,31639.47619047619,89276.76190476191,73.51453620665495
111,118857.80952380953,31516.571428571428,87341.23809523809,73.18446256425125
112,117459.38095238095,31539.714285714286,85919.66666666667,72.69251210845934
113,116045.28571428571,31530.0,84515.28571428571,72.20108699404139
114,114181.85714285714,31535.619047619046,82646.23809523809,71.89160298749172
115,113973.23809523809,31473.0,82500.23809523809,71.89236889622133
116,113896.14285714286,31595.190476190477,82300.95238095238,71.77891068469715
117,113835.33333333333,31610.85714285714,82224.47619047618,71.74856801231813
118,114562.14285714286,31767.85714285714,82794.28571428571,71.76535852354392
119,114300.19047619047,31749.714285714286,82550.47619047618,71.71373312798798
120,112720.0,31654.904761904763,81065.09523809524,71.3572579936546
121,112260.04761904762,31663.47619047619,80596.57142857143,71.23239556689035
122,110712.95238095238,31586.095238095237,79126.85714285714,70.91318838899238
123,110974.23809523809,31494.85714285714,79479.38095238095,71.01031746979639
124,111806.85714285714,31448.904761904763,80357.95238095238,71.16531417760068
125,111478.33333333333,31512.95238095238,79965.38095238095,71.0346351904059
126,111044.80952380953,31509.190476190477,79535.61904761905,70.892065354166
127,109593.28571428571,31480.761904761905,78112.52380952382,70.52182013977816
128,109204.90476190476,31381.571428571428,77823.33333333333,70.49033807563168
129,108656.61904761905,31243.14285714286,77413.47619047618,70.42208902906931
130,106387.90476190476,30969.14285714286,75418.76190476191,70.12241012719736
131,105646.80952380953,30785.380952380954,74861.42857142857,70.11124032696095
132,107199.23809523809,30778.380952380954,76420.85714285714,70.45922591126384
133,107899.95238095238,30719.85714285714,77180.09523809524,70.8055223292138
134,107774.71428571429,30680.666666666668,77094.04761904762,70.79458624955112
135,105966.57142857143,30531.666666666668,75434.90476190476,70.40529205715295
136,105411.23809523809,30567.809523809523,74843.42857142857,70.1804121837454
137,104936.47619047618,30453.52380952381,74482.95238095238,70.15171332995281
138,104046.0,30262.571428571428,73783.42857142857,70.07356198346767
139,101382.38095238095,29858.904761904763,71523.47619047618,69.76844596393964
140,100270.0,29651.285714285714,70618.71428571429,69.64394530687048
141,100037.61904761905,29515.809523809523,70521.80952380953,69.70617839183299
142,99139.09523809524,29382.809523809523,69756.28571428571,69.55214099291838
143,97978.33333333333,29113.809523809523,68864.52380952382,69.4102777230802
144,94556.61904761905,28850.666666666668,65705.95238095238,68.80823993360364
145,91044.52380952382,28651.190476190477,62393.333333333336,68.18527197267633
146,89303.66666666667,28368.619047619046,60935.04761904762,67.9229737388175
147,88905.52380952382,28225.714285714286,60679.80952380953,67.95757089390183
148,88423.23809523809,28169.85714285714,60253.380952380954,67.8301976165594
149,87420.19047619047,28111.809523809523,59308.380952380954,67.42237566976326
150,87352.47619047618,28046.761904761905,59305.71428571428,67.47410684896543
151,86636.38095238095,27971.04761904762,58665.333333333336,67.3043605266924
152,85168.38095238095,27921.0,57247.380952380954,66.84409122939469
153,81880.71428571429,27699.761904761905,54180.95238095238,66.05143977313614
154,80139.33333333333,27576.285714285714,52563.04761904762,65.36414172432157
155,80209.09523809524,27527.238095238095,52681.857142857145,65.46369076946227
156,79195.38095238095,27362.238095238095,51833.142857142855,65.17217147968911
157,78396.28571428571,27190.809523809523,51205.47619047619,65.02991918462888
158,77837.52380952382,26977.428571428572,50860.09523809524,65.06392572378967
159,77423.04761904762,26886.333333333332,50536.71428571428,65.01807836007353
160,77129.76190476191,26872.0,50257.76190476191,64.91616000460839
161,76855.38095238095,26849.47619047619,50005.90476190476,64.82781310993452
162,76358.71428571429,26744.285714285714,49614.42857142857,64.75101328143558
163,76155.47619047618,26658.85714285714,49496.619047619046,64.77185637054842
164,77387.52380952382,26771.47619047619,50616.04761904762,65.08901741258535
165,78168.04761904762,26001.52380952381,52166.52380952381,66.06531128881382
166,78255.66666666667,26013.95238095238,52241.71428571428,66.08527056527183
167,78207.80952380953,26066.95238095238,52140.857142857145,65.99184255581929
168,77612.04761904762,26047.285714285714,51564.76190476191,65.72701993433787
169,77370.85714285714,25924.285714285714,51446.57142857143,65.77513499754532
170,78062.66666666667,25788.666666666668,52274.0,66.29166044435725
171,79193.0,25793.285714285714,53399.71428571428,66.68158196165764
172,80027.85714285714,25816.333333333332,54211.52380952381,66.93391479786817
173,80912.80952380953,25839.333333333332,55073.47619047619,67.25581708424728
174,82774.57142857143,25994.85714285714,56779.71428571428,67.8116241926804
175,84683.95238095238,26018.333333333332,58665.619047619046,68.66359266783931
176,84813.90476190476,25946.428571428572,58867.47619047619,68.81439784108545
177,86435.90476190476,26154.333333333332,60281.57142857143,69.27734466119203
178,87144.14285714286,26222.714285714286,60921.42857142857,69.50185273916433
179,88435.80952380953,26293.095238095237,62142.71428571428,69.75110147995522
180,97873.76190476191,26323.85714285714,71549.90476190476,70.81839175962668
181,104668.09523809524,26294.904761904763,78373.19047619047,71.86215303415473
182,111344.14285714286,26262.333333333332,85081.80952380953,72.88797198372025
183,113714.66666666667,26008.714285714286,87705.95238095238,73.73241329560825
184,114844.61904761905,25909.85714285714,88934.76190476191,74.16546256532656
185,113949.42857142857,25832.571428571428,88116.85714285714,73.94907750005356
186,113656.23809523809,26669.190476190477,86987.04761904762,73.08174689565307
187,114441.42857142857,26760.666666666668,87680.76190476191,73.24783009842591
188,115263.42857142857,26867.904761904763,88395.52380952382,73.44590462053307
189,115832.33333333333,26946.238095238095,88886.09523809524,73.61558995460415
190,116208.61904761905,27169.14285714286,89039.47619047618,73.50625244456216
191,116829.38095238095,27468.95238095238,89360.42857142857,73.39471081598292
192,117051.28571428571,27671.571428571428,89379.71428571429,73.26103489420773
193,117437.33333333333,27765.428571428572,89671.90476190476,73.28254938504753
194,117679.57142857143,27902.285714285714,89777.28571428571,73.21563260519918
195,116756.38095238095,27948.95238095238,88807.42857142857,72.85099495744612
196,117338.28571428571,28137.52380952381,89200.76190476191,72.79006756122055
197,118248.61904761905,28361.190476190477,89887.42857142857,72.86639090645761
198,121599.0,28393.380952380954,93205.61904761905,73.46845392844449
199,123167.85714285714,28510.04761904762,94657.80952380953,73.79699502684365
