,Twitter sessions,Twitter clicks
2020-07-26,21453.85714285714,4911.571428571428
2020-07-27,20506.285714285714,4981.571428571428
2020-07-28,18488.0,4961.714285714285
2020-07-29,19086.428571428572,5129.142857142857
2020-07-30,20158.85714285714,5962.428571428572
2020-07-31,19052.285714285714,5353.714285714285
2020-08-01,17950.14285714286,5018.571428571428
2020-08-02,15956.142857142857,4473.0
2020-08-03,15748.857142857143,3781.0
2020-08-04,15290.0,3481.714285714286
2020-08-05,14319.42857142857,3212.1428571428573
2020-08-06,13942.714285714286,3019.0
2020-08-07,14595.42857142857,2956.5714285714284
2020-08-08,15238.285714285714,3071.714285714286
2020-08-09,16307.42857142857,3420.8571428571427
2020-08-10,16011.714285714286,3542.1428571428573
2020-08-11,17135.85714285714,3532.4285714285716
2020-08-12,19912.14285714286,3584.5714285714284
2020-08-13,21615.0,2752.714285714286
2020-08-14,21590.14285714286,2319.1428571428573
2020-08-15,21787.14285714286,2562.0
2020-08-16,20905.14285714286,2275.285714285714
2020-08-17,21804.428571428572,2427.0
2020-08-18,21569.85714285714,2395.4285714285716
2020-08-19,18977.14285714286,2485.8571428571427
2020-08-20,18341.571428571428,2722.4285714285716
2020-08-21,19029.285714285714,3127.8571428571427
2020-08-22,22791.285714285714,3399.5714285714284
2020-08-23,23477.714285714286,3599.1428571428573
2020-08-24,23698.285714285714,3470.714285714286
2020-08-25,26319.85714285714,3736.714285714286
2020-08-26,27482.0,4116.0
2020-08-27,28204.714285714286,4532.571428571428
2020-08-28,28034.571428571428,4425.142857142857
2020-08-29,25060.571428571428,4045.0
2020-08-30,24978.0,3947.285714285714
2020-08-31,25225.285714285714,4396.428571428572
2020-09-01,22994.285714285714,4159.428571428572
2020-09-02,22029.0,3570.4285714285716
2020-09-03,20474.14285714286,3066.285714285714
2020-09-04,22252.14285714286,6261.285714285715
2020-09-05,24002.714285714286,7357.285714285715
2020-09-06,25406.571428571428,8051.857142857143
2020-09-07,26078.14285714286,7756.714285714285
2020-09-08,28251.14285714286,8071.571428571428
2020-09-09,28838.85714285714,8125.142857142857
2020-09-10,28756.85714285714,8348.57142857143
2020-09-11,27984.571428571428,4991.142857142857
2020-09-12,25987.85714285714,3871.285714285714
