,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
94,2021-03-22,5142,294.0,4614.0,63.71911573472042,64.38543690011632,4362.0,281.0,143136.0,243669.0,144.0,150.0,2427.0,59.33250927070458,69.0581814022526,142.0,1056.338028169014,1042.196047888591
95,2021-03-21,4516,279.0,4686.0,59.53905249679898,65.83025462409775,3961.0,172.0,142992.0,243519.0,143.0,136.0,2650.0,53.9622641509434,63.34060731330635,162.0,839.5061728395061,998.5409918812256
96,2021-03-20,3367,287.0,5007.0,57.319752346714594,68.674926775217,2802.0,207.0,142849.0,243383.0,140.0,147.0,2443.0,57.30659025787966,61.012609677359116,186.0,790.3225806451612,994.0162701151246
97,2021-03-19,4138,283.0,5211.0,54.308194204567265,70.50252553716783,3499.0,241.0,142709.0,243236.0,147.0,136.0,2658.0,55.30474040632055,56.79492260252919,170.0,800.0,973.1784613073908
98,2021-03-18,4522,351.0,5564.0,63.0841121495327,74.92603122306892,3828.0,226.0,142562.0,243100.0,171.0,180.0,3586.0,47.68544339096486,56.09390174615565,152.0,1184.2105263157894,955.5665134697374
99,2021-03-17,4852,343.0,3528.0,97.22222222222223,77.06763392334726,4115.0,269.0,142391.0,242920.0,164.0,178.0,2461.0,66.63957740755791,54.17739215869579,145.0,1227.5862068965516,944.0114444434039
100,2021-03-16,4740,364.0,3702.0,98.32522960561859,79.67399483161839,3977.0,299.0,142227.0,242742.0,172.0,192.0,3000.0,57.333333333333336,53.44482078473142,210.0,914.2857142857142,971.7562304189848
101,2021-03-15,5437,431.0,4552.0,94.68365553602811,81.61709888664099,4579.0,346.0,142055.0,242550.0,206.0,223.0,3785.0,54.425363276089826,52.12696928632407,239.0,933.0543933054394,951.5223717509624
102,2021-03-14,3583,357.0,4790.0,74.53027139874739,83.49891050503072,2967.0,222.0,141849.0,242327.0,178.0,176.0,4390.0,40.54669703872437,53.357465146979315,232.0,758.6206896551723,970.0570806161487
103,2021-03-13,3449,385.0,5095.0,75.56427870461236,87.4626471085346,2832.0,241.0,141671.0,242151.0,194.0,191.0,3718.0,52.1785906401291,56.02269937273759,194.0,984.5360824742269,970.6710593410719
104,2021-03-12,4614,386.0,5684.0,67.90992258972554,90.2290512333794,3840.0,364.0,141477.0,241960.0,201.0,185.0,4362.0,46.079779917469054,56.40610143319024,281.0,658.3629893238434,1001.8845405841918
105,2021-03-11,4686,449.0,5888.0,76.25679347826086,89.33455291591847,3938.0,336.0,141276.0,241775.0,223.0,226.0,3961.0,56.29891441555163,58.333990274029475,172.0,1313.9534883720928,1020.9298674571188
106,2021-03-10,5007,494.0,3953.0,124.96837844674931,88.65213794770798,4106.0,371.0,141053.0,241549.0,239.0,255.0,2802.0,85.2962169878658,60.45689746672689,207.0,1231.8840579710145,1036.2941980374474
107,2021-03-09,5211,483.0,4104.0,117.69005847953217,88.20267665422817,4362.0,381.0,140814.0,241294.0,210.0,273.0,3499.0,60.01714775650186,61.37236659364261,241.0,1132.7800829875519,1036.5921967666427
108,2021-03-08,5564,501.0,5666.0,88.42216731380162,87.04706783462098,4585.0,462.0,140604.0,241021.0,260.0,241.0,3828.0,67.92058516196448,62.21474290031934,226.0,1066.3716814159293,1045.347938176201
109,2021-03-07,3528,461.0,6609.0,69.75336662127401,84.79192294069503,2867.0,283.0,140344.0,240780.0,228.0,233.0,4115.0,55.40704738760632,67.55737475207235,269.0,866.1710037174721,1062.2735016133925
110,2021-03-06,3702,528.0,7291.0,72.41804965025374,79.69327387340681,3021.0,301.0,140116.0,240547.0,233.0,295.0,3977.0,58.5868745285391,69.74871421385423,299.0,986.6220735785953,1077.161434054996
111,2021-03-05,4552,487.0,8141.0,59.82066085247512,77.04171876405626,3716.0,385.0,139883.0,240252.0,238.0,249.0,4579.0,51.97641406420616,72.52156215340158,346.0,719.6531791907514,1063.6873562655655
112,2021-03-04,4790,596.0,9856.0,60.47077922077922,75.73304166299816,3887.0,444.0,139645.0,240003.0,278.0,318.0,2967.0,93.69733737782272,74.89872008825553,222.0,1432.4324324324325,1069.0866398728137
113,2021-03-03,5095,607.0,6799.0,89.27783497573174,75.31708644985055,4154.0,454.0,139367.0,239685.0,285.0,322.0,2832.0,100.63559322033898,77.8038298031845,241.0,1336.0995850622405,1080.5038742281538
114,2021-03-02,5684,683.0,6890.0,99.12917271407838,73.86548069103165,4557.0,578.0,139082.0,239363.0,305.0,378.0,3840.0,79.42708333333333,78.6698825085789,364.0,1038.4615384615386,1067.7918344705818
115,2021-03-01,5888,704.0,8882.0,79.26142760639496,74.80297715420299,4652.0,637.0,138777.0,238985.0,333.0,371.0,3938.0,84.56069070594211,81.21508087329661,336.0,1104.1666666666667,1088.051646225026
116,2021-02-28,3953,662.0,9904.0,66.84168012924071,75.69803491187807,3177.0,363.0,138444.0,238614.0,311.0,351.0,4106.0,75.74281539210911,87.96029656604573,371.0,946.0916442048517,1099.4709403298325
